Res_Time_GQL,Cpu_usage_Rest,Ram_Usage_Rest,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
58,4012,31,59,2825,38
90,4507,31,62,2790,38
57,2781,32,121,3099,38
58,3852,32,48,2290,38
70,13565,32,40,16147,38
124,6022,31,59,1903,38
64,3363,31,51,2512,39
50,3817,32,50,2810,39
78,3583,32,39,2711,39
70,7036,32,41,9860,39
68,3422,32,39,4635,39
59,3929,31,50,2448,39
129,3907,31,105,2734,39
78,4689,32,45,2154,39
49,2522,32,39,2347,39
69,3081,32,40,75430,29
67,3878,32,38,1829,29
58,5481,31,41,1276,29
60,3910,32,60,1530,29
123,2722,32,51,2255,30
53,4197,32,48,2208,30
58,4091,32,49,1651,30
77,5217,32,110,2121,30
59,4034,32,51,2497,30
91,4362,32,51,2273,30
68,4141,32,59,2567,30
115,2937,32,39,1918,30
104,3595,32,41,2115,30
77,4103,32,41,2845,30
106,2681,32,40,3003,30
131,3811,32,40,2813,31
58,4595,32,59,3074,31
66,2803,32,104,2824,31
48,2355,32,66,2697,31
139,4362,32,59,2183,31
59,3382,32,61,2970,31
60,3215,32,71,7036,31
119,2736,32,38,2572,31
124,3115,32,40,1899,31
52,3704,32,41,2716,31
79,5796,32,39,6766,32
69,6092,32,108,2684,32
79,50408,32,53,3092,32
59,3407,33,38,1907,32
56,3318,33,42,2013,32
371,17002,33,39,2763,32
204,2928,32,49,2308,32
238,4123,32,60,2224,32
32,1851,33,49,6032,32
228,2973,33,38,2032,32
218,3331,33,51,2043,33
229,3602,33,101,2513,33
261,3165,32,48,2452,33
189,3373,32,40,2226,33
228,2634,33,51,2617,33
208,1778,33,59,2822,33
221,2965,33,61,2409,33
219,4255,33,50,2757,33
